Date,KOSPI,SP500,Exchange_Rate,WTI_Oil,Interest_Rate
2013-07-01,50.7100830078125,79.449951171875,-33.89990234375,8.47000122070311,0.040000000000000036
2013-08-01,12.3299560546875,-52.760009765625,-1.60009765625,2.6200027465820312,0.029999999999999805
2013-09-01,70.5999755859375,48.580078125,-35.89990234375,-5.319999694824233,-0.040000000000000036
2013-10-01,33.1300048828125,74.989990234375,-17.60009765625,-5.950004577636719,-0.06999999999999984
2013-11-01,14.780029296875,49.27001953125,1.9000244140625,-3.6599960327148295,0.10599999999999987
2013-12-01,-33.530029296875,42.5499267578125,-5.7999267578125,5.699996948242202,0.004999999999999893
2014-01-01,-70.18994140625,-65.77001953125,25.0,-0.9300003051758097,-0.04899999999999993
2014-02-01,38.8399658203125,76.8599853515625,-10.60009765625,5.099998474121108,-0.03799999999999981
2014-03-01,5.6199951171875,12.8900146484375,-2.14990234375,-1.0099945068359517,0.020000000000000018
2014-04-01,-23.8199462890625,11.6099853515625,-37.110107421875,-1.8400039672851562,0.0009999999999998899
2014-05-01,33.169921875,39.6199951171875,-10.89996337890625,2.970001220703139,-0.03699999999999992
2014-06-01,7.25,36.6600341796875,-5.239990234375,2.660003662109389,-0.09200000000000008
2014-07-01,73.91015625,-29.5599365234375,10.299987792968864,-7.200004577636719,-0.18800000000000017
2014-08-01,-7.580078125,72.699951171875,-9.399963378906364,-2.2099990844726705,-0.017999999999999794
2014-09-01,-48.4500732421875,-31.0799560546875,37.99993896484375,-4.799995422363281,-0.13500000000000023
2014-10-01,-55.65991210937523,45.760009765625,1.60009765625,-10.620002746582031,-0.16599999999999993
2014-11-01,16.349975585937727,49.510009765625,45.2999267578125,-14.389999389648438,-0.10099999999999998
2014-12-01,-65.1900634765625,-8.66015625,-3.7999267578125,-12.880001068115234,0.004999999999999893
2015-01-01,33.6700439453125,-63.909912109375,3.5,-5.029998779296875,-0.10399999999999965
2015-02-01,36.5400390625,109.510009765625,1.8699951171875,1.5199966430664062,-0.015000000000000124
2015-03-01,55.22998046875,-36.610107421875,4.8299560546875,-2.1599998474121165,-0.15900000000000003
2015-04-01,86.139892578125,17.6201171875,-36.530029296875,12.030002593994148,-0.1259999999999999
2015-05-01,-12.369873046875,21.8798828125,38.030029296875,0.6699981689453125,0.1359999999999999
2015-06-01,-40.60009765625,-44.27978515625,11.219970703125,-0.8299980163574219,-0.10200000000000009
